品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
现代, 全新胜达, 2015款, 2.0T, 自动两驱智能型, 5座,,,2016, 3.2万公里, 到店服务,严选车,21.5,0,13.54
奔腾B50, 2012款, 1.6L, 手动天窗型,,,,,2013, 4.0万公里, 到店服务,急售,15.6,0,3
起亚K2, 2011款, 三厢, 1.4L, MT, TOP,,,2011, 8.0万公里, 到店服务,严选车,19.6,0,2.77
现代, 全新胜达, 2015款, 2.0T, 自动四驱智能型, 5座,,,2015, 12.1万公里, 到店服务,超值,22.8,0,10.93
别克, 昂科威, 2015款, 20T, 两驱精英型,,,,2015, 11.6万公里, 到店服务,超值急售,15.1,0,11.91
雪佛兰, 科鲁兹, 2011款, 1.6L, SL, MT,,,2011, 9.2万公里, 到店服务,,15.2,0,2.89
本田, 思域, 2016款, 220TURBO, 手动豪华版,,,,2016, 3.1万公里, 到店服务,超值急售,46.8,1,9.6
马自达3星骋, 2011款, 三厢, 1.6L, 手动舒适型,,,,2011, 7.7万公里, 到店服务,急售,10.5,0,3.26
大众, 途观L, 2018款, 330TSI, 自动两驱旗舰版,,,,2018, 0.5万公里, 到店服务,,29.7,0,21.1
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2015, 3.8万公里, 到店服务,,25.9,0,6.27
福特, 蒙迪欧, 2013款, 2.0L, GTDi200时尚型,,,,2014, 5.5万公里, 到店服务,,14.5,0,10.28
东风风行, 景逸S50, 2014款, 1.5L, 手动尊贵型,,,,2016, 8.2万公里, 到店服务,,15.6,0,3.06
大众, 途观, 2012款, 1.8TSI, 自动两驱风尚版,,,,2013, 5.8万公里, 到店服务,超值,12.5,0,10.74
起亚KX5, 2016款, 1.6T, 自动两驱DLX,,,,,2016, 7.6万公里, 到店服务,,11.9,0,10.35
起亚, 智跑, 2014款, 2.0L, 自动两驱版GLS,,,,2014, 9.1万公里, 到店服务,,16,0,7.92
起亚K2, 2011款, 三厢, 1.4L, MT, GLS,,,2012, 7.4万公里, 到店服务,,9.1,0,2.88
奇瑞E3, 2015款, 1.5L, 手动风尚型,,,,,2016, 6.2万公里, 到店服务,急售,8.5,0,2.77
福特, 蒙迪欧, 2013款, 2.0L, GTDi200时尚型,,,,2014, 5.4万公里, 到店服务,超值急售,15.6,0,11.16
吉利, 金刚, 2016款, 1.5L, 手动精英型,,,,2016, 3.2万公里, 到店服务,超值急售,41.6,0,2.85
福特, 福克斯, 2013款, 三厢经典, 1.8L, 手动基本型,,,2013, 5.7万公里, 到店服务,急售,9.2,0,3.42
标致2008, 2014款, 1.6L, 手动时尚版,,,,,2014, 7.9万公里, 到店服务,急售,12.4,0,4.12
奔驰GLA级, 2015款, GLA,220, 4MATIC, 时尚型,,,2016, 5.9万公里, 到店服务,超值,7.9,0,17.98
奔驰GLK级, 2012款, GLK,300, 4MATIC, 时尚型,,,2012, 11.7万公里, 到店服务,超值,11.9,0,16.5
奇瑞E3, 2015款, 1.5L, 手动风尚型,,,,,2016, 3.9万公里, 到店服务,急售,8.5,0,2.79
宝马1系, 2013款, 改款, 118i, 领先型(进口),,,,2014, 1.7万公里, 到店服务,急售,11.9,0,13.82
大众POLO, 2016款, 1.6L, 自动豪华型,,,,,2016, 2.6万公里,,,12.6,0,6.8
起亚, 智跑, 2014款, 2.0L, 自动两驱版DLX,,,,2014, 4.8万公里, 到店服务,超值急售,11.9,0,8.58
标致408, 2013款, 2.0L, 自动舒适版,,,,,2014, 2.3万公里, 到店服务,,21,0,5
英菲尼迪ESQ, 2014款, 1.6L, 率性版(进口),,,,,2017, 2.5万公里, 到店服务,,14.6,0,10.97
起亚, 智跑, 2012款, 2.0L, 自动两驱版NAVI,,,,2012, 6.6万公里, 到店服务,急售,24.4,0,6.7
MG6, 2013款, 掀背, 1.8L, 自动驾值版,,,,2013, 13.3万公里, 到店服务,,13.4,0,3.3
陆风X7, 2015款, 2.0T, 全景尊贵版,,,,,2015, 6.8万公里, 到店服务,,11.8,0,6.25
奥迪Q5, 2015款,40, TFSI, 技术型,,,,2015, 6.2万公里, 到店服务,急售,11.5,0,18
奔腾B50, 2013款, 1.6L, 手动豪华型,,,,,2014, 3.9万公里, 到店服务,急售,23.3,0,3.58
DS,5, 2015款, 1.8T, 60周年限量版THP200,,,,2015, 3.4万公里, 到店服务,急售,30,0,13
雪铁龙C5, 2011款, 东方之旅, 2.3L, 自动豪华型,,,,2012, 5.2万公里, 到店服务,急售,17.2,0,6
大众, 高尔夫, 2016款, 1.6L, 自动时尚型,,,,2015, 1.5万公里, 到店服务,急售,11.9,0,8.5
起亚K3, 2013款, 1.6L, 自动Premium,,,,,2014, 5.3万公里, 到店服务,超值,43.2,0,5.9
福特, 福克斯, 2013款, 两厢经典, 1.8L, 自动百万纪念版,,,2014, 4.7万公里, 到店服务,,22.7,0,4.5
现代, 悦动, 2011款, 1.6L, 自动舒适型,,,,2011, 8.2万公里, 到店服务,严选车,31.8,0,3.5
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2013, 6.7万公里, 到店服务,严选车,18.6,0,6.3
MG3, 2014款, 1.5L, AMT精英版,,,,,2015, 3.6万公里, 到店服务,严选车,16.3,0,4
荣威350, 2015款, 1.5L, 手动豪华天窗版,,,,,2016, 5.6万公里, 到店服务,严选车,25.3,0,3.58
福特, 福克斯, 2012款, 两厢, 1.6L, 自动风尚型,,,2015, 6.1万公里,,严选车,44.5,0,5.3
宝马3系, 2011款, 320i, 豪华型,,,,,2011, 12.1万公里,,严选车,11.6,0,9.02
标致301, 2014款, 1.6L, 手动舒适版,,,,,2015, 2.1万公里, 到店服务,严选车,7.5,0,3.4
日产, 骐达, 2016款, 1.6L, CVT酷动版,,,,2016, 1.3万公里, 到店服务,严选车,13.9,0,8.8
比亚迪, 元, 2016款, 1.5L, 自动豪华型,,,,2017, 3.4万公里, 到店服务,严选车,21,0,4.2
日产, 轩逸, 2012款, 经典, 1.6XE, 自动舒适版,,,2014, 13.8万公里, 到店服务,严选车,38.4,0,5.21
起亚K2, 2017款, 三厢, 1.4L, MT, GLS,,,2017, 1.9万公里, 到店服务,严选车,12.9,0,4.94
大众, 宝来, 2012款, 1.6L, 手动时尚超值版,,,,2013, 11.5万公里, 到店服务,严选车,9.3,0,4.07
标致308, 2014款, 乐享版, 经典, 1.6L, 自动优尚型,,,2016, 4.2万公里, 到店服务,严选车,13.9,0,5.8
大众, 朗逸, 2015款, 1.6L, 手动风尚版,,,,2016, 5.0万公里, 到店服务,严选车,18.4,0,5.95
别克, 君威, 2014款, 2.0L, 精英时尚型,,,,2014, 6.2万公里, 到店服务,严选车,26,0,8.5
现代, 朗动, 2015款, 1.6L, 自动尊贵型,,,,2016, 4.7万公里, 到店服务,严选车,20.2,0,7.88
斯巴鲁XV, 2012款, 2.0i, 豪华版,,,,,2013, 4.9万公里, 到店服务,严选车,46.4,0,9
福特, 福克斯, 2013款, 两厢经典, 1.8L, 自动时尚型,,,2016, 5.0万公里, 到店服务,严选车,23.6,0,5.6
雪佛兰, 科鲁兹, 2013款, 1.6L, SL, MT,,,2014, 9.4万公里, 到店服务,严选车,19.5,0,4
标致301, 2014款, 1.6L, 自动豪华版,,,,,2014, 3.8万公里,,严选车,44.3,0,5
荣威950, 2012款, 2.0L, 典雅版,,,,,2014, 10.8万公里,,严选车,21.7,0,6.6
雷诺, 科雷傲, 2012款, 2.5L, 四驱舒适导航版(进口),,,,2012, 6.2万公里,,严选车,21,0,7.3
起亚K4, 2014款, 1.8L, 自动DLX,,,,,2015, 9.3万公里, 到店服务,急售,17.4,0,7.95
雪佛兰, 创酷, 2016款, 1.4T, 手动两驱舒适天窗版,,,,2016, 2.5万公里, 到店服务,,31.7,0,5.42
奔驰GLK级, 2015款, GLK,260, 4MATIC, 动感型, 极致版,,2016, 5.6万公里, 到店服务,超值急售,42.1,0,24
大众, 帕萨特, 2013款, 1.8TSI, DSG政府采购版,,,,2014, 9.3万公里, 到店服务,,13.5,0,9.5
大众, 迈腾, 2012款, 改款, 2.0TSI, 至尊型,,,2013, 5.7万公里, 到店服务,急售,12.4,0,11.96
大众, 途安, 2015款, 1.4T, 自动舒适版5座,,,,2016, 3.5万公里, 到店服务,急售,34.6,0,9.53
别克, 昂科拉, 2015款, 1.4T, 自动两驱都市精英型,,,,2015, 4.1万公里, 到店服务,严选车,13.9,0,6.82
大众, 迈腾, 2012款, 1.8TSI, 豪华型,,,,2012, 5.6万公里, 到店服务,急售,15.5,0,10.37
凯迪拉克XTS, 2016款, 28T, 豪华型,,,,,2017, 6.7万公里, 到店服务,,13.2,0,19.18
日产, 骐达, 2008款, 1.6L, 手动时尚型,,,,2011, 6.8万公里, 到店服务,,30.9,0,3.17
雪佛兰, 赛欧, 2013款, 三厢, 1.4L, 手动优逸版,,,2013, 1.1万公里, 到店服务,严选车,31.7,0,2.73
福特, 翼搏, 2013款, 1.5L, 自动风尚型,,,,2015, 3.6万公里, 到店服务,急售,11.9,1,5.73
别克, 君越, 2013款, 2.4L, SIDI领先舒适型,,,,2015, 5.8万公里, 到店服务,,37.8,1,10.93
丰田, 卡罗拉, 2017款, 改款, 1.2T, S-CVT, GL-i,,2017, 6.1万公里, 到店服务,,46.5,0,9.26
别克, 君威, 2014款, 2.0L, 精英时尚型,,,,2015, 7.8万公里, 到店服务,急售,28.5,0,9.17
奔驰C级, 2017款, 改款, C,200, L, 运动版,,2017, 2.5万公里, 到店服务,急售,8.7,0,27.65
长安CS75, 2014款, 2.0L, 手动豪华型, 国V,,,,2016, 4.2万公里, 到店服务,急售,15.9,0,5.64
铃木, 天语, SX4, 2011款, 改款, 1.6L, 手动舒适型,,2011, 3.6万公里, 到店服务,急售,20.6,0,2.75
丰田, 卡罗拉, 2014款, 1.6L, CVT, GL-i,,,2016, 5.3万公里, 到店服务,急售,53,0,9.03
马自达CX-5, 2015款, 2.0L, 手动两驱舒适型,,,,,2016, 1.6万公里, 到店服务,,95,0,10.75
现代, 全新胜达, 2015款, 2.0T, 自动两驱智能型, 5座,,,2016, 4.5万公里, 到店服务,,14,0,13.45
日产, 天籁, 2013款, 2.0L, XL舒适版,,,,2014, 10.6万公里, 到店服务,,43,0,10.7
奥迪Q5, 2017款,40, TFSI, 技术型,,,,2017, 3.7万公里, 到店服务,,14.9,0,27.32
福特, 翼虎, 2015款, 1.5L, GTDi, 两驱风尚型,,,2015, 9.4万公里, 到店服务,急售,14.6,0,11.56
现代, 途胜, 2015款, 1.6T, 双离合两驱智能型,,,,2016, 6.2万公里, 到店服务,,21.3,0,10.52
福特, 翼虎, 2015款, 1.5L, GTDi, 两驱风尚型,,,2015, 3.1万公里, 到店服务,急售,21,1,9.94
路虎, 发现神行, 2017款, 2.0T, SE,,,,2017, 2.4万公里, 到店服务,急售,18,0,24.62
别克, 威朗, 2017款, 三厢, 20T, 双离合旗舰型,,,2017, 3.2万公里, 到店服务,,29,0,10.26
荣威RX5, 2018款, 20T, 两驱自动互联网智惠版,,,,,2018, 3.9万公里, 到店服务,,10.8,1,9.49
起亚KX5, 2016款, 1.6T, 自动两驱Premium,,,,,2016, 1.8万公里, 到店服务,,59.2,0,11.7
别克, 昂科拉, 2014款, 1.4T, 自动两驱都市精英型,,,,2014, 3.4万公里, 到店服务,急售,20.2,0,6.57
道奇, 酷威, 2013款, 2.4L, 两驱尊尚版(进口),,,,2014, 2.7万公里, 到店服务,,22.7,0,12.8
奥迪Q5, 2015款,40, TFSI, 进取型,,,,2015, 8.2万公里,,,30.8,0,19.98
大众, 朗逸, 2011款, 1.6L, 自动品悠版,,,,2011, 7.6万公里,,,8.9,0,4.69
福特, 福克斯, 2015款, 三厢, 1.6L, 手动舒适型,,,2016, 2.5万公里,,急售,49.9,0,5.86
凯迪拉克ATS-L, 2016款, 28T, 时尚型,,,,,2016, 3.1万公里, 到店服务,急售,19.6,0,16.46
荣威550, 2012款,550, 1.8L, 手动超值版,,,,2012, 5.2万公里, 到店服务,,44.5,0,2.99
现代ix25, 2015款, 1.6L, 自动两驱智能型GLS,,,,,2016, 3.7万公里, 到店服务,,27.1,0,8.17
标致2008, 2014款, 1.6L, 自动时尚版,,,,,2014, 2.8万公里, 到店服务,,13,0,5.6
宝马X1, 2014款, sDrive18i, 时尚型,,,,,2014, 4.8万公里, 到店服务,,29.2,0,15.2
宝马1系, 2013款, 改款, 118i, 领先型(进口),,,,2014, 4.3万公里, 到店服务,,41.6,0,13.48
福特, 福克斯, 2013款, 三厢经典, 1.8L, 自动基本型,,,2014, 5.7万公里, 到店服务,急售,22.7,0,4.95
奔驰C级, 2011款, C,200, CGI, 优雅型,,,2011, 8.2万公里, 到店服务,,16.8,0,11.5
宝马5系, 2013款, 520Li, 典雅型,,,,,2013, 4.5万公里, 到店服务,急售,30.2,0,22.8
福特, 翼虎, 2015款, 2.0L, GTDi, 四驱运动型,,,2016, 2.9万公里, 到店服务,,35.4,0,13.65
比亚迪S6, 2014款, 2.0L, 手动豪华型, 5座,,,,2014, 4.9万公里, 到店服务,急售准新车,14.5,0,3.1
别克, 威朗, 2015款, 三厢, 15S, 自动进取型,,,2016, 3.2万公里,,急售,20,0,7.68
福特, 蒙迪欧, 2013款, 1.5L, GTDi180时尚型,,,,2016, 2.2万公里, 到店服务,急售,33.6,0,11.46
奔驰E级, 2010款, E,200, CGI, 优雅型(进口),,,2010, 11.3万公里,,急售,56.3,0,14.38
奥迪Q7, 2011款,3, TFSI, 技术型(200kW)(进口),,,,2012, 14.3万公里,,急售,56.4,0,27
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2014, 1.6万公里, 到店服务,急售,37.8,0,7
奔驰GLC级, 2016款, GLC,200, 4MATIC,,,,2016, 4.9万公里, 到店服务,急售,31.5,0,31.4
别克, 英朗, 2013款, GT, 1.6L, 手动进取版,,,2015, 5.7万公里,,,22.4,0,6.25
本田, 凌派, 2016款, 1.8L, CVT豪华版,,,,2016, 10.4万公里, 到店服务,急售,27,0,8.65
现代ix35, 2010款, 2.0L, 自动两驱精英版GLS,,,,,2013, 8.0万公里, 到店服务,严选车,19.5,0,7.4
别克, 君威, 2014款, 2.0L, 精英时尚型,,,,2014, 1.7万公里, 到店服务,严选车,13.5,0,9.7
大众, 高尔夫, 2016款, 230TSI, 自动豪华型,,,,2017, 2.0万公里, 到店服务,准新车严选车,5.3,0,11.1
本田, 奥德赛, 2015款, 改款, 2.4L, 智享版,,,2017, 3.2万公里, 到店服务,超值严选车,13.4,0,21.5
起亚K2, 2011款, 三厢, 1.6L, AT, Premium,,,2012, 10.2万公里, 到店服务,准新车严选车,8.7,0,4
宝马X3, 2012款, xDrive28i, 领先型(进口),,,,,2013, 10.7万公里, 到店服务,超值严选车,15.6,0,20.8
别克, 君威, 2012款, 2.0L, 舒适版,,,,2013, 7.2万公里,,严选车,20.6,0,8
别克GL8, 2014款, 2.4L, 经典版,,,,,2014, 9.1万公里, 到店服务,准新车严选车,14.3,0,9.2
大众CC, 2016款, 2.0TSI, 豪华型,,,,,2016, 3.3万公里, 到店服务,严选车,11.7,0,17
雪佛兰, 爱唯欧, 2011款, 三厢, 1.4L, MT, SL,,2013, 7.5万公里, 到店服务,准新车严选车,12.8,0,3
宝马5系, 2013款, 525Li, 领先型,,,,,2013, 15.1万公里,,严选车,10.8,0,21
起亚K5, 2016款, 1.6T, 自动LUX,,,,,2017, 2.3万公里, 到店服务,严选车,11.9,0,12
奥迪A6L, 2012款, TFSI, 标准型,,,,,2013, 11.2万公里, 到店服务,超值严选车,57.5,0,18
现代, 全新胜达, 2013款, 2.4L, 自动两驱智能型,,,,2013, 9.1万公里, 到店服务,准新车严选车,45.8,0,9.8
福特, 福克斯, 2012款, 三厢, 1.6L, 手动舒适型,,,2013, 9.4万公里, 到店服务,严选车,16.5,0,4
大众CC, 2016款, 1.8TSI, 豪华型,,,,,2016, 4.1万公里, 到店服务,严选车,12.5,0,17.8
奔驰C级, 2016款, C,180, 旅行轿车(进口),,,,2016, 8.3万公里, 到店服务,严选车,9.3,0,23.8
别克GL8, 2014款, 2.4L, 经典版,,,,,2016, 10.7万公里,,严选车,68.2,0,10.8
大众, 高尔夫, 2015款, 1.4TSI, 自动舒适型,,,,2015, 10.2万公里, 到店服务,准新车严选车,46.4,0,9
宝马1系, 2012款, 116i, 都市型(进口),,,,,2014, 6.0万公里, 到店服务,严选车,11.7,0,12.12
宝马3系, 2016款, 320Li, 进取型,,,,,2016, 7.8万公里, 到店服务,严选车,38.4,0,20
大众, 朗逸, 2017款, 1.6L, 自动舒适版,,,,2018, 1.5万公里,,严选车,13,0,10
大众, 凌渡, 2015款, 280TSI, DSG舒适版,,,,2016, 4.5万公里, 到店服务,严选车,56.8,0,11.57
大众, 途观, 2012款, 2.0TSI, 自动四驱旗舰版,,,,2012, 5.5万公里, 到店服务,准新车严选车,15.2,0,12.5
奥迪TT, 2011款, TT, Coupe, 2.0TFSI(进口),,,,2013, 5.2万公里,,严选车,27.8,0,23
丰田, 普拉多, 2016款, 3.5L, 自动TX-L,,,,2016, 9.6万公里,,严选车,25.5,0,42
奔驰C级, 2011款, C,200, CGI, 优雅型,,,2012, 11.5万公里, 到店服务,严选车,17.6,0,11.6
奔驰GLA级, 2015款, GLA,200, 时尚型,,,,2015, 7.6万公里, 到店服务,严选车,18,0,18.1
本田, 雅阁, 2015款, 2.0L, EX, 豪华版,,,2015, 5.6万公里, 到店服务,严选车,17.9,0,14
奥迪A3, 2014款, Sportback,35, TFSI, 自动舒适型,,,2015, 2.6万公里, 到店服务,严选车,16.3,0,14
福特, 蒙迪欧-致胜, 2011款, 2.3L, 时尚型,,,,2013, 3.7万公里, 到店服务,严选车,14.5,0,5.85
大众, 桑塔纳, 2013款, 1.6L, 自动风尚版,,,,2014, 5.0万公里, 到店服务,严选车,9.6,1,4.34
丰田, 雷凌, 2017款, 改款, 185T, CVT精英版, 国V,,2017, 4.4万公里, 到店服务,超值严选车,15.9,0,8.63
比亚迪F3, 2018款, 1.5L, 手动精英型,,,,,2019, 0.1万公里, 到店服务,严选车,22.3,0,3.31
起亚, 狮跑, 2013款, 2.0L, 手动两驱版GLS,,,,2014, 6.9万公里, 到店服务,严选车,19.5,0,4.7
北汽绅宝, 绅宝D50, 2018款, 1.5L, CVT豪华智驾版,,,,2018, 1.7万公里, 到店服务,超值严选车,8.2,0,4.86
Jeep, 自由客, 2014款, 2.4L, 运动版(进口),,,,2016, 3.3万公里, 到店服务,超值严选车,11.3,1,11.43
大众, 高尔夫·嘉旅, 2016款, 1.6L, 自动舒适型,,,,2016, 2.0万公里, 到店服务,严选车,13.1,0,8.26
大众POLO, 2013款, 1.4L, 手动风尚版,,,,,2013, 8.7万公里, 到店服务,严选车,11.2,1,3.28
福特, 蒙迪欧, 2013款, 1.5L, GTDi180时尚型,,,,2014, 5.4万公里, 到店服务,超值严选车,15.4,0,9.25
大众, 宝来, 2018款, 1.5L, 自动舒适型,,,,2018, 1.2万公里, 到店服务,严选车,16.6,0,8.74
众泰SR7, 2016款, 1.5T, CVT魔方之心版, 国V,,,,2016, 2.8万公里, 到店服务,严选车,21,0,5.05
丰田, 卡罗拉, 2017款, 改款, 1.2T, S-CVT, GL,,2018, 1.0万公里, 到店服务,超值严选车,10.8,0,9.97
斯柯达, 晶锐, 2014款, 1.4L, 自动晶灵版,,,,2014, 1.6万公里, 到店服务,严选车,20.3,0,4.68
凯迪拉克XTS, 2013款, 28T, 科技型,,,,,2013, 11.2万公里, 到店服务,严选车,11.3,1,12.76
雪佛兰, 科沃兹, 2016款, 1.5L, 自动欣尚版,,,,2017, 1.1万公里, 店内直卖,严选车,26.4,0,6.97
凯迪拉克SRX, 2012款, 3.0L, 领先型(进口),,,,,2013, 14.0万公里, 到店服务,严选车,17.2,0,12.5
福特, 福克斯, 2012款, 三厢, 1.6L, 手动风尚型,,,2013, 8.6万公里, 到店服务,严选车,9.3,1,3.75
奥迪Q5, 2012款, 2.0TFSI, 技术型,,,,,2012, 13.4万公里, 到店服务,严选车,20.6,1,14.59
日产, 轩逸, 2012款, 经典, 1.6XE, 自动舒适版,,,2016, 6.7万公里, 到店服务,超值严选车,18.8,1,5.8
沃尔沃XC60, 2019款, T5, 四驱智远版, 国VI,,,,2019, 0.2万公里, 到店服务,严选车,14.1,0,30.92
斯柯达, 明锐, 2017款, 1.6L, 自动智行版,,,,2016, 4.4万公里, 到店服务,严选车,9.1,0,8.08
Smart, smart, fortwo, 2012款,1, MHD, 硬顶标准版,,2012, 5.3万公里, 到店服务,超值严选车,15.2,0,4.26
荣威360, 2017款, 1.5L, 自动智屏版,,,,,2017, 3.7万公里, 到店服务,严选车,16.8,0,5.23
路虎, 揽胜极光, 2014款, 2.0T, 5门耀动版(进口),,,,2014, 5.0万公里, 到店服务,超值严选车,14,0,21.39
起亚K5, 2015款, 2.0L, 自动LUX,,,,,2015, 7.0万公里, 到店服务,严选车,11.9,1,8.93
奔驰C级, 2010款, C,200, CGI, 时尚型,,,2011, 8.4万公里, 到店服务,严选车,11.3,1,11.27
奥迪Q5, 2017款, Plus,40, TFSI, 技术型,,,2018, 1.2万公里, 店内直卖,严选车,28.2,0,28.7
荣威360, 2015款, 20T, TST尊享版,,,,,2016, 7.5万公里, 到店服务,准新车严选车,25,0,5.05
奔驰C级, 2016款, C,200, L, 运动型,,,2016, 4.2万公里, 到店服务,超值严选车,11.1,0,25.4
起亚K4, 2017款, 1.6T, 自动T-DLX, Turbo,,,,2017, 1.9万公里, 到店服务,严选车,10.3,1,9.34
别克, 英朗, 2017款, 15N, 自动进取型,,,,2017, 3.5万公里, 到店服务,严选车,8.5,0,7.12
宝马X3, 2013款, 改款, xDrive20i, 豪华型(进口),,,,2014, 6.1万公里, 到店服务,严选车,16.3,0,23.37
雪佛兰, 科鲁兹, 2015款, 1.5L, 经典, SE, AT,,2016, 4.0万公里, 到店服务,严选车,11.8,1,5.38
起亚, 凯绅, 2017款, 1.8L, 自动GLS,,,,2018, 0.7万公里, 店内直卖,超值严选车,10.3,0,9.12
别克, 君越, 2013款, 2.4L, SIDI精英舒适型,,,,2014, 9.7万公里, 到店服务,严选车,20.6,0,10.22
大众, 迈腾, 2016款, 1.8TSI, 智享豪华型,,,,2016, 2.4万公里, 到店服务,严选车,10.6,0,15.01
标致408, 2016款, 1.6T, 自动豪华版,,,,,2017, 1.3万公里, 到店服务,严选车,17.3,0,9.37
大众, 高尔夫, 2014款, 1.4TSI, 自动豪华型,,,,2014, 5.4万公里, 到店服务,严选车,54.2,0,7.98
日产, 逍客, 2011款, 2.0XL, 火, CVT, 2WD,,2011, 7.6万公里, 到店服务,严选车,10.5,0,5.49
Jeep, 自由侠, 2017款, 180T, 自动高能版,,,,2017, 2.1万公里, 到店服务,严选车,14.2,0,9.31
大众, 高尔夫, 2014款, 1.6L, 自动时尚型,,,,2014, 4.3万公里, 到店服务,严选车,9.4,0,7.24
大众, 捷达, 2013款, 1.6L, 自动舒适型,,,,2014, 3.7万公里, 到店服务,严选车,13.8,1,5.11
中华V3, 2016款, 1.5L, 自动智能型,,,,,2016, 3.0万公里, 到店服务,严选车,19.5,0,4.47
雪铁龙, 爱丽舍, 2017款, 1.6L, 手动时尚型,,,,2017, 7.0万公里, 到店服务,严选车,12.2,1,3.79
大众, 速腾, 2015款, 230TSI, 手动舒适型,,,,2016, 2.4万公里, 到店服务,严选车,8.6,0,8
斯柯达, 昊锐, 2009款, 1.8TSI, 自动优雅版,,,,2011, 9.9万公里, 到店服务,严选车,13.9,0,5.39
马自达6, 2012款, 2.0L, 自动时尚型,,,,,2012, 5.4万公里, 到店服务,严选车,12.3,0,5.78
荣威350, 2014款, 1.5L, 手动迅驰版,,,,,2014, 5.7万公里, 到店服务,严选车,9.8,0,2.88
大众POLO, 2014款, 1.6L, 自动舒适版,,,,,2015, 3.6万公里, 到店服务,严选车,14.6,0,5.55
大众POLO, 2011款, 劲取, 1.6L, 自动实酷版,,,,2011, 3.5万公里, 到店服务,超值准新车严选车,17.8,1,3.68
现代, 悦动, 2011款, 1.6L, 自动豪华型,,,,2014, 3.3万公里, 到店服务,严选车,10.1,0,4.66
大众POLO, 2009款, 劲情, 1.4L, 自动舒尚版,,,,2010, 4.5万公里, 到店服务,严选车,13,0,3.07
标致408, 2011款, 2.0L, 自动舒适版,,,,,2012, 7.4万公里, 到店服务,严选车,10.6,0,3.38
别克, 英朗, 2013款, GT, 1.6L, 自动时尚版,,,2015, 4.8万公里, 到店服务,严选车,10.8,0,5.65
福特, 翼虎, 2015款, 1.5L, GTDi, 两驱舒适型,,,2015, 2.5万公里, 到店服务,严选车,13,0,10.05
大众, 桑塔纳, 2015款, 1.6L, 自动风尚版,,,,2016, 4.7万公里, 到店服务,严选车,30,0,5.36
标致3008, 2013款, 2.0L, 自动潮流版,,,,,2014, 3.4万公里, 到店服务,超值严选车,11.2,0,7.1
荣威350, 2011款, 350S, 1.5L, 自动迅悦版,,,,2011, 8.9万公里, 到店服务,严选车,9.7,0,2.75
福特, 蒙迪欧, 2013款, 2.0L, GTDi240豪华运动型,,,,2013, 2.3万公里, 到店服务,严选车,20,0,11.28
菲亚特, 菲翔, 2012款, 1.4T, 自动尊享版,,,,2014, 5.5万公里, 到店服务,严选车,6.9,0,4.63
